exp_id,class_id,class_name,precision,recall,f1,model_type,model_status,f1_delta
EXP1,0,No DR,,,,baseline,complete,
EXP1,1,Mild NPDR,,,,baseline,complete,
EXP1,2,Moderate NPDR,,,,baseline,complete,
EXP1,3,Severe NPDR,,,,baseline,complete,
EXP1,4,Proliferative DR,,,,baseline,complete,
EXP2,0,No DR,,,,baseline,complete,
EXP2,1,Mild NPDR,,,,baseline,complete,
EXP2,2,Moderate NPDR,,,,baseline,complete,
EXP2,3,Severe NPDR,,,,baseline,complete,
EXP2,4,Proliferative DR,,,,baseline,complete,
EXP3,0,No DR,,,,baseline,complete,
EXP3,1,Mild NPDR,,,,baseline,complete,
EXP3,2,Moderate NPDR,,,,baseline,complete,
EXP3,3,Severe NPDR,,,,baseline,complete,
EXP3,4,Proliferative DR,,,,baseline,complete,
EXP4,0,No DR,,,,baseline,complete,
EXP4,1,Mild NPDR,,,,baseline,complete,
EXP4,2,Moderate NPDR,,,,baseline,complete,
EXP4,3,Severe NPDR,,,,baseline,complete,
EXP4,4,Proliferative DR,,,,baseline,complete,
EXP5,0,No DR,,,,cbam,complete,
EXP5,1,Mild NPDR,,,,cbam,complete,
EXP5,2,Moderate NPDR,,,,cbam,complete,
EXP5,3,Severe NPDR,,,,cbam,complete,
EXP5,4,Proliferative DR,,,,cbam,complete,
EXP6,0,No DR,,,,cbam,complete,
EXP6,1,Mild NPDR,,,,cbam,complete,
EXP6,2,Moderate NPDR,,,,cbam,complete,
EXP6,3,Severe NPDR,,,,cbam,complete,
EXP6,4,Proliferative DR,,,,cbam,complete,
EXP7,0,No DR,,,,cbam,complete,
EXP7,1,Mild NPDR,,,,cbam,complete,
EXP7,2,Moderate NPDR,,,,cbam,complete,
EXP7,3,Severe NPDR,,,,cbam,complete,
EXP7,4,Proliferative DR,,,,cbam,complete,
EXP8,0,No DR,,,,cbam,complete,
EXP8,1,Mild NPDR,,,,cbam,complete,
EXP8,2,Moderate NPDR,,,,cbam,complete,
EXP8,3,Severe NPDR,,,,cbam,complete,
EXP8,4,Proliferative DR,,,,cbam,complete,
